Indicator type,Indicator,Description
URL,http://timgood.net/jfeE99045VdeCC/,
URL,http://zahahadidmiami.com/K38258Q/,
URL,http://celnetnation.com/bolt_outputE48BDFF.exe,
URL,http://celnetnation.com/bolts.exe,
URL,http://celnetnation.com/luxxx.exe,
URL,http://shuswapcomputer.ca/images/banners/bannerlogo.png,
URL,http://moon15.50webs.com/87hcwc,
URL,http://harban.net/download9122/,
URL,http://hashstrem.ru/download/ontime/HS_Svc.exe,
URL,http://797117.aspents.tw/file/dip.cvb,
URL,http://newwoodworker.com/freeplans/sQs96248BCtlZ/,
URL,http://sermo.net/y55433A/,
URL,http://windowlock.com/FRKN04920zdcw/,
URL,http://semghs.org/site0087/ip41848SWQVA/,
URL,http://innovationbd.com/download3439/,
URL,http://hullsite.com/download3628/,
URL,http://konsalt-mk.ru/download2979/,
URL,http://fmyers.com/download9505/,
URL,http://autoglobe.tv/wp-ben/bncrypted.exe,
URL,http://autoglobe.tv/wp-include/mcrypted.exe,
URL,http://mtnvw.org/download1644/,
URL,http://t0nney.com/download1344/,
URL,http://873904.aspents.tw/file/dew.fgh,
URL,http://zipzipzipzob.top/smoke927422.exe,
URL,http://pucfilms.com/qvVM36069mDK/,
URL,http://societydead.org/download4971/,
URL,http://wrapmedia.ca/download2960/,
URL,http://justinreid.com/download9160/,
URL,http://shortsalemyhome.com/hi986gh,
URL,http://217.23.6.9/smoke927422.exe,
URL,http://hitecmetal.com.my/images/NGVN4LNyaCV6amPf8jsgJeHVgLX.png,
URL,http://digifox.com.br/download4361/,
URL,http://comstam.pl/file/dew.fgh,
URL,http://fenster-kontor.de/test2.exe,
URL,http://fenster-kontor.de/test.exe,
